,Dataset,Phase,Algo,Points,Queries,Action,BuildTime,UpdateTime,SearchTime,Recall,Precision,QPS,peak_mb,avg_mb,start_mb,end_mb,growth_mb,Threading
31,imdb_wiki,1,KNNS Double (Threaded),520458,1000,Build,1.3163,0.0,32347.17107,1.0,1.0,30.9146,75759.39,75750.85,75759.39,75601.27,0.0,True
32,imdb_wiki,1,KNNS Double (Serial),520458,1000,Build,1.3052,0.0,160557.22547,1.0,1.0,6.2283,75601.27,75601.27,75601.27,75601.27,0.0,False
33,imdb_wiki,1,KNNS Reordered Binary (Threaded),520458,1000,Build,1.8598,0.0,21824.48077,1.0,1.0,45.8201,75698.76,75606.54,75601.27,75698.76,97.5,True
34,imdb_wiki,1,KNNS Reordered Binary (Serial),520458,1000,Build,1.8532,0.0,79252.44188,1.0,1.0,12.6179,75698.76,75698.76,75698.76,75698.76,0.0,False
35,imdb_wiki,1,KNNS Reordered Double (Threaded),520458,1000,Build,1.8601,0.0,29375.48947,1.0,1.0,34.042,76313.01,75731.96,75698.76,76313.01,614.25,True
36,imdb_wiki,1,KNNS Reordered Double (Serial),520458,1000,Build,1.8548,0.0,149227.86355,1.0,1.0,6.7012,76313.01,76313.01,76313.01,76313.01,0.0,False
37,imdb_wiki,1,Linscan (budget: 1),520458,1000,Build,133.2007,0.0,323.12202,0.1176,0.1176,3094.8061,82269.18,76667.79,76313.01,76359.71,5956.18,True
38,imdb_wiki,1,Linscan (budget: 10),520458,1000,Build,134.4576,0.0,903.27215,0.584,0.584,1107.0861,76421.11,76359.73,76359.71,76421.11,61.4,True
39,imdb_wiki,1,Linscan (budget: 100),520458,1000,Build,135.6604,0.0,6565.07564,0.9197,0.9197,152.3212,76421.14,76376.13,76376.11,76421.14,45.03,True
40,imdb_wiki,1,Linscan (budget: 1000),520458,1000,Build,135.7817,0.0,63055.31955,0.9985,0.9985,15.8591,76421.11,76361.16,76361.14,76421.11,59.98,True
41,imdb_wiki,1,Linscan (base),520458,1000,Build,134.9964,0.0,94681.93817,0.9993,0.9993,10.5617,76421.14,76377.13,76377.11,76421.14,44.03,True
42,imdb_wiki,1,Cufe (budget: 1),520458,1000,Build,139.0769,0.0,322.36409,0.2496,0.2496,3102.0825,76421.14,76362.17,76362.14,76421.14,59.0,True
43,imdb_wiki,1,Cufe (budget: 10),520458,1000,Build,141.5978,0.0,893.08429,0.5184,0.5184,1119.7151,76421.18,76378.16,76378.14,76421.18,43.04,True
44,imdb_wiki,1,Cufe (budget: 100),520458,1000,Build,140.3944,0.0,6571.56944,0.5396,0.5396,152.1707,76421.18,76363.21,76363.18,76421.18,58.0,True
45,imdb_wiki,1,Cufe (budget: 1000),520458,1000,Build,142.2523,0.0,47401.41416,0.5398,0.5398,21.0964,76421.22,76379.2,76379.18,76421.22,42.04,True
46,imdb_wiki,1,Cufe (base),520458,1000,Build,140.3267,0.0,47870.63837,0.9826,0.9826,20.8896,76421.18,76364.24,76364.22,76421.18,56.96,True
47,imdb_wiki,1,SHNSW (ef_search: 40),520458,1000,Build,177.957,0.0,124.39775,0.9437,0.9437,8038.7303,76380.75,76380.66,76380.18,76380.28,0.57,True
48,imdb_wiki,1,SHNSW (ef_search: 200),520458,1000,Build,171.5755,0.0,321.96712,0.97,0.97,3105.9072,80293.06,76377.42,76322.28,76322.28,3970.78,True
49,imdb_wiki,1,SHNSW (ef_search: 500),520458,1000,Build,172.4569,0.0,621.45948,0.9756,0.9756,1609.1154,84262.84,80310.85,76321.28,76321.28,7941.56,True
50,imdb_wiki,1,SHNSW (ef_search: 1000),520458,1000,Build,174.9372,0.0,1031.87251,0.9731,0.9731,969.112,88233.62,84046.34,76321.28,80292.06,11912.34,True
51,imdb_wiki,1,Faiss HNSW (efSearch: 64),520458,1000,Build,48.4237,0.0,67.82222,0.9432,0.9432,14744.4308,80292.06,80292.06,80292.06,80292.06,0.0,True
52,imdb_wiki,1,Faiss HNSW (efSearch: 128),520458,1000,Build,48.7128,0.0,108.37817,0.9579,0.9579,9226.9502,80291.06,80291.06,80291.06,80291.06,0.0,True
53,imdb_wiki,1,Faiss HNSW (efSearch: 256),520458,1000,Build,48.1043,0.0,182.36518,0.963,0.963,5483.503,80291.06,80291.06,80291.06,80291.06,0.0,True
54,imdb_wiki,1,Faiss GT,520458,1000,Build,0.4142,0.0,10144.30928,0.9992,0.9992,98.5774,80291.06,80291.06,80291.06,80291.06,0.0,True
55,imdb_wiki,1,Scann,520458,1000,Build,27.807,0.0,1763.98993,0.8525,0.8525,566.8967,82276.92,80967.25,80291.06,80291.56,1985.86,True
56,imdb_wiki,1,Falconn (num_tables: 50),520458,1000,Build,5.4943,0.0,6445.02187,0.9573,0.9573,155.1585,80291.56,80291.56,80291.56,80291.55,0.0,True
57,imdb_wiki,1,Falconn (num_tables: 100),520458,1000,Build,10.7598,0.0,9751.88518,0.9803,0.9803,102.5443,80294.89,80294.79,80291.05,80294.88,3.84,True
58,insta_1m,1,KNNS Binary (Threaded),999991,1000,Build,10.1856,0.0,11900.3818,1.0,1.0,84.0309,95553.54,91757.02,87924.21,94997.07,7629.33,True
59,insta_1m,1,KNNS Binary (Serial),999991,1000,Build,14.4877,0.0,44862.43677,1.0,1.0,22.2904,111380.47,98897.71,94997.07,111380.47,16383.4,False
60,insta_1m,1,KNNS Double (Threaded),999991,1000,Build,10.336,0.0,14049.93415,1.0,1.0,71.1747,111380.47,107583.0,103751.14,111256.07,7629.33,True
61,insta_1m,1,KNNS Double (Serial),999991,1000,Build,9.0276,0.0,64030.31874,1.0,1.0,15.6176,118861.48,104665.47,103626.74,118861.48,15234.75,False
62,insta_1m,1,KNNS Reordered Binary (Threaded),999991,1000,Build,13.38,0.0,10023.24343,1.0,1.0,99.7681,118842.44,115042.23,111232.16,117489.08,7610.29,True
63,insta_1m,1,KNNS Reordered Binary (Serial),999991,1000,Build,13.9441,0.0,36575.77538,1.0,1.0,27.3405,117564.04,103148.26,102265.66,117564.04,15298.38,False
64,insta_1m,1,KNNS Reordered Double (Threaded),999991,1000,Build,6.8792,0.0,12606.63486,1.0,1.0,79.3233,118167.79,110495.07,109934.71,118167.79,8233.08,True
65,insta_1m,1,KNNS Reordered Double (Serial),999991,1000,Build,9.9827,0.0,61662.37688,1.0,1.0,16.2173,118167.78,103966.79,102901.71,118167.78,15266.07,False
66,insta_1m,1,Linscan (budget: 1),999991,1000,Build,369.8749,0.0,666.24618,0.0719,0.0719,1500.9467,124684.62,119949.74,110538.45,101781.47,14146.18,True
67,insta_1m,1,Linscan (budget: 10),999991,1000,Build,262.2546,0.0,1031.01492,0.6195,0.6195,969.9181,104484.85,89612.55,77778.18,77853.62,26706.67,True
68,insta_1m,1,Linscan (budget: 100),999991,1000,Build,264.596,0.0,6683.10714,0.9358,0.9358,149.631,104521.14,89623.33,77814.62,77857.58,26706.52,True
69,insta_1m,1,Linscan (budget: 1000),999991,1000,Build,262.9093,0.0,63398.42796,0.9943,0.9943,15.7733,104501.22,89600.63,77798.58,77857.59,26702.64,True
70,insta_1m,1,Linscan (base),999991,1000,Build,265.2966,0.0,235458.40406,0.9978,0.9978,4.247,104522.23,89617.83,77819.59,77857.64,26702.64,True
71,insta_1m,1,Cufe (budget: 1),999991,1000,Build,272.8507,0.0,414.22796,0.1491,0.1491,2414.1296,104502.28,89760.54,77799.64,77880.72,26702.64,True
72,insta_1m,1,Cufe (budget: 10),999991,1000,Build,274.8844,0.0,911.22508,0.6658,0.6658,1097.4237,104546.36,89811.07,77843.72,77880.87,26702.64,True
73,insta_1m,1,Cufe (budget: 100),999991,1000,Build,273.1055,0.0,6597.32556,0.7112,0.7112,151.5766,104537.51,89793.23,77834.87,77881.28,26702.64,True
74,insta_1m,1,Cufe (budget: 1000),999991,1000,Build,272.0267,0.0,63050.42195,0.7123,0.7123,15.8603,104547.92,89803.79,77845.28,77881.31,26702.64,True
75,insta_1m,1,Cufe (base),999991,1000,Build,273.6313,0.0,99100.30675,0.953,0.953,10.0908,104538.96,89799.73,77836.31,77881.28,26702.64,True
76,insta_1m,1,SHNSW (ef_search: 40),999991,1000,Build,318.362,0.0,103.34849,0.9421,0.9421,9675.9998,104549.05,96506.93,77846.28,85533.22,26702.77,True
77,insta_1m,1,SHNSW (ef_search: 200),999991,1000,Build,314.7075,0.0,239.59517,0.9716,0.9716,4173.7068,112180.87,104102.03,85478.22,93158.18,26702.64,True
78,insta_1m,1,SHNSW (ef_search: 500),999991,1000,Build,361.5246,0.0,452.30174,0.9804,0.9804,2210.9134,119860.89,111389.03,93158.25,100801.59,26702.64,True
79,insta_1m,1,SHNSW (ef_search: 1000),999991,1000,Build,408.8009,0.0,769.96517,0.9879,0.9879,1298.76,124199.59,115982.52,100800.59,104963.02,23399.0,True
80,insta_1m,1,Faiss HNSW (efSearch: 64),999991,1000,Build,84.5144,0.0,55.03964,0.9424,0.9424,18168.7221,108789.32,108718.72,104963.13,108789.32,3826.19,True
81,insta_1m,1,Faiss HNSW (efSearch: 128),999991,1000,Build,84.3208,0.0,126.64819,0.9613,0.9613,7895.8888,112604.0,112534.61,108789.32,112604.0,3814.68,True
82,insta_1m,1,Faiss HNSW (efSearch: 256),999991,1000,Build,86.1705,0.0,140.17296,0.9702,0.9702,7134.0436,112604.01,112536.07,108789.35,112604.01,3814.66,True
83,insta_1m,1,Faiss GT,999991,1000,Build,2.6765,0.0,19832.67069,0.9976,0.9976,50.4219,112604.39,112348.35,108789.35,112604.39,3815.04,True
84,insta_1m,1,Scann,999991,1000,Build,51.0057,0.0,3274.15276,0.7543,0.7543,305.4225,116421.54,113231.43,108789.72,112621.04,7631.82,True
85,insta_1m,1,Falconn (num_tables: 50),999991,1000,Build,10.8205,0.0,3111.82261,0.9646,0.9646,321.3551,108854.38,108848.23,108806.38,108854.38,48.0,True
86,insta_1m,1,Falconn (num_tables: 100),999991,1000,Build,21.1453,0.0,4618.54386,0.9844,0.9844,216.5185,108858.85,108628.52,105039.28,108858.84,3819.57,True
87,mirflickr,1,KNNS Binary (Threaded),999993,1000,Build,11.1673,0.0,8244.73691,1.0,1.0,121.2895,116490.89,112691.84,108861.55,115929.61,7629.34,True
88,mirflickr,1,KNNS Binary (Serial),999993,1000,Build,143.1734,0.0,30377.11477,1.0,1.0,32.9195,119742.77,115942.35,112114.95,117315.55,7627.83,False
89,mirflickr,1,KNNS Double (Threaded),999993,1000,Build,10.3567,0.0,9350.81744,1.0,1.0,106.9425,117315.55,113518.16,109686.21,117251.3,7629.34,True
90,mirflickr,1,KNNS Double (Serial),999993,1000,Build,9.0459,0.0,42845.57843,1.0,1.0,23.3396,124832.7,110640.85,109621.96,124432.34,15210.74,False
91,mirflickr,1,KNNS Reordered Binary (Threaded),999993,1000,Build,112.2693,0.0,6880.54276,1.0,1.0,145.3374,124427.82,120589.35,116803.0,117344.52,7624.82,True
92,mirflickr,1,KNNS Reordered Binary (Serial),999993,1000,Build,11.6702,0.0,24783.95772,1.0,1.0,40.3487,117359.77,103134.55,102093.68,117359.77,15266.1,False
93,mirflickr,1,KNNS Reordered Double (Threaded),999993,1000,Build,7.0386,0.0,8137.61663,1.0,1.0,122.8861,117942.75,110277.11,109730.43,117942.75,8212.32,True
94,mirflickr,1,KNNS Reordered Double (Serial),999993,1000,Build,9.9045,0.0,40877.73991,1.0,1.0,24.4632,117942.73,103741.72,102676.64,117942.73,15266.09,False
95,mirflickr,1,Linscan (budget: 1),999993,1000,Build,357.5397,0.0,638.57961,0.0675,0.0675,1565.9755,124504.07,119264.03,110313.39,101350.32,14190.68,True
96,mirflickr,1,Linscan (budget: 10),999993,1000,Build,261.3287,0.0,1025.00367,0.6823,0.6823,975.6063,104009.84,89108.06,77307.14,77372.7,26702.7,True
97,mirflickr,1,Linscan (budget: 100),999993,1000,Build,263.4281,0.0,6674.27588,0.9584,0.9584,149.829,104046.4,89134.94,77343.7,77372.8,26702.7,True
98,mirflickr,1,Linscan (budget: 1000),999993,1000,Build,260.7146,0.0,63398.6609,0.9857,0.9857,15.7732,104016.5,89111.71,77313.8,77372.78,26702.7,True
99,mirflickr,1,Linscan (base),999993,1000,Build,261.0218,0.0,236752.45595,0.9865,0.9865,4.2238,104047.48,89145.32,77344.78,77372.87,26702.7,True
100,mirflickr,1,Cufe (budget: 1),999993,1000,Build,272.7797,0.0,488.89971,0.1367,0.1367,2045.4093,104017.95,89284.89,77314.87,77418.78,26703.09,True
101,mirflickr,1,Cufe (budget: 10),999993,1000,Build,273.1276,0.0,915.53283,0.7188,0.7188,1092.2601,104094.48,89352.48,77391.78,77418.83,26702.7,True
102,mirflickr,1,Cufe (budget: 100),999993,1000,Build,278.0248,0.0,6609.07888,0.7582,0.7582,151.307,104064.53,89321.7,77361.83,77418.8,26702.7,True
103,mirflickr,1,Cufe (budget: 1000),999993,1000,Build,276.3075,0.0,63073.99678,0.7586,0.7586,15.8544,104095.5,89351.84,77392.8,77418.84,26702.7,True
104,mirflickr,1,Cufe (base),999993,1000,Build,274.5845,0.0,104167.41443,0.9299,0.9299,9.5999,104065.54,89326.64,77362.84,77418.81,26702.7,True
105,mirflickr,1,SHNSW (ef_search: 40),999993,1000,Build,294.7806,0.0,97.00203,0.9312,0.9312,10309.0627,104096.68,95981.6,77393.81,85030.83,26702.87,True
106,mirflickr,1,SHNSW (ef_search: 200),999993,1000,Build,321.1021,0.0,211.74765,0.9606,0.9606,4722.6027,111675.53,103348.63,84972.83,92623.25,26702.7,True
107,mirflickr,1,SHNSW (ef_search: 500),999993,1000,Build,308.5956,0.0,375.27561,0.9703,0.9703,2664.7082,119326.02,111125.5,92623.32,100255.46,26702.7,True
108,mirflickr,1,SHNSW (ef_search: 1000),999993,1000,Build,382.3275,0.0,640.42521,0.9782,0.9782,1561.4626,124168.61,116191.66,100255.46,104756.68,23913.15,True
109,mirflickr,1,Faiss HNSW (efSearch: 64),999993,1000,Build,77.4219,0.0,51.98169,0.9256,0.9256,19237.544,108577.06,108501.01,104756.68,108577.06,3820.39,True
110,mirflickr,1,Faiss HNSW (efSearch: 128),999993,1000,Build,76.6894,0.0,112.75887,0.9448,0.9448,8868.4815,112389.76,112313.43,108575.06,112389.76,3814.7,True
111,mirflickr,1,Faiss HNSW (efSearch: 256),999993,1000,Build,76.7226,0.0,116.09602,0.9569,0.9569,8613.5597,112389.84,112313.69,108575.16,112389.84,3814.67,True
112,mirflickr,1,Faiss GT,999993,1000,Build,2.6667,0.0,19678.84493,0.9866,0.9866,50.816,112390.34,112132.51,108575.16,112390.34,3815.17,True
113,mirflickr,1,Scann,999993,1000,Build,51.5284,0.0,3228.2815,0.7443,0.7443,309.7623,116210.39,113053.66,108575.66,112406.93,7634.73,True
114,mirflickr,1,Falconn (num_tables: 50),999993,1000,Build,10.8631,0.0,2589.8869,0.9623,0.9623,386.1172,108700.41,108684.19,108592.27,108700.41,108.15,True
115,mirflickr,1,Falconn (num_tables: 100),999993,1000,Build,21.6591,0.0,3880.8496,0.9802,0.9802,257.6755,108797.81,108511.52,104885.3,108797.8,3912.51,True
