Dataset,Phase,Algo,Points,Queries,Action,BuildTime,UpdateTime,SearchTime,Recall,Precision,QPS,peak_mb,avg_mb,start_mb,end_mb,growth_mb,Threading
imagenet,3,Linscan (budget: 100),500000,1000,Update,0.0,51.1175,6583.35733,0.0,0.9696,151.8982,26502.23,26502.23,26502.23,26501.86,0.0,True
imagenet,1,Linscan (budget: 1000),300000,1000,Build,77.4933,0.0,54448.43268,0.9786,0.9786,18.366,31079.5,26967.54,26501.86,26563.21,4577.64,True
imagenet,2,Linscan (budget: 1000),301000,1000,Update,0.0,0.2593,54669.86275,0.0,0.9786,18.2916,26472.55,26469.82,26472.55,26459.81,0.0,True
imagenet,3,Linscan (budget: 1000),500000,1000,Update,0.0,50.6052,63017.75718,0.0,0.9703,15.8685,26459.81,26459.81,26459.81,26459.44,0.0,True
imagenet,1,Linscan (base),300000,1000,Build,77.5746,0.0,54473.82879,0.9788,0.9788,18.3574,31037.07,26921.01,26459.44,26520.79,4577.64,True
imagenet,2,Linscan (base),301000,1000,Update,0.0,0.2593,54677.99568,0.0,0.9788,18.2889,26474.52,26471.37,26474.52,26459.81,0.0,True
imagenet,3,Linscan (base),500000,1000,Update,0.0,51.3401,91148.58723,0.0,0.9707,10.9711,26459.81,26459.81,26459.81,26459.44,0.0,True
imagenet,1,Cufe (budget: 1),300000,1000,Build,81.8528,0.0,316.08152,0.8349,0.8349,3163.7408,31037.14,26913.12,26459.44,26540.1,4577.7,True
imagenet,2,Cufe (budget: 1),301000,1000,Update,0.0,0.2979,318.7561,0.0,0.8363,3137.1948,26497.22,26492.3,26495.8,26497.22,1.42,True
imagenet,3,Cufe (budget: 1),500000,1000,Update,0.0,54.4693,326.27845,0.0,0.687,3064.8669,26509.0,26497.22,26497.22,26509.0,11.78,True
imagenet,1,Cufe (budget: 10),300000,1000,Build,82.0018,0.0,876.158,0.8782,0.8782,1141.3467,31086.64,26945.83,26509.0,26570.37,4577.64,True
imagenet,2,Cufe (budget: 10),301000,1000,Update,0.0,0.2734,885.90407,0.0,0.8779,1128.7904,26530.01,26522.76,26530.01,26509.39,0.0,True
imagenet,3,Cufe (budget: 10),500000,1000,Update,0.0,53.6491,897.70579,0.0,0.8226,1113.9507,26509.39,26509.37,26509.39,26509.02,0.0,True
imagenet,1,Cufe (budget: 100),300000,1000,Build,80.524,0.0,6549.29519,0.8788,0.8788,152.6882,31086.66,26952.61,26509.02,26570.4,4577.64,True
imagenet,2,Cufe (budget: 100),301000,1000,Update,0.0,0.2738,6561.98192,0.0,0.8787,152.393,26533.98,26526.16,26533.98,26509.42,0.0,True
imagenet,3,Cufe (budget: 100),500000,1000,Update,0.0,52.8515,6569.50879,0.0,0.8242,152.2184,26509.42,26509.4,26509.42,26509.05,0.0,True
imagenet,1,Cufe (budget: 1000),300000,1000,Build,80.9619,0.0,28555.88484,0.8788,0.8788,35.0191,31086.69,26933.71,26509.05,26570.41,4577.64,True
imagenet,2,Cufe (budget: 1000),301000,1000,Update,0.0,0.2763,28655.36332,0.0,0.8786,34.8975,26536.94,26524.79,26536.94,26509.42,0.0,True
imagenet,3,Cufe (budget: 1000),500000,1000,Update,0.0,53.866,46076.7467,0.0,0.8243,21.7029,26509.42,26509.29,26509.42,26509.06,0.0,True
imagenet,1,Cufe (base),300000,1000,Build,80.2832,0.0,27693.83144,0.919,0.919,36.1091,31086.7,26934.1,26509.06,26570.42,4577.64,True
imagenet,2,Cufe (base),301000,1000,Update,0.0,0.276,27734.94482,0.0,0.919,36.0556,26539.9,26529.85,26539.9,26509.43,0.0,True
imagenet,3,Cufe (base),500000,1000,Update,0.0,54.0996,46110.41832,0.0,0.871,21.6871,26509.43,26509.41,26509.43,26509.06,0.0,True
imagenet,1,SHNSW (ef_search: 40),300000,1000,Build,141.0301,0.0,85.79659,0.9197,0.9197,11655.4743,31086.7,26642.0,26509.06,26561.97,4577.64,True
imagenet,2,SHNSW (ef_search: 40),301000,1000,Update,0.0,0.0,87.0471,0.0,0.918,11488.0335,26535.49,26535.1,26535.39,26533.43,0.1,True
imagenet,3,SHNSW (ef_search: 40),500000,1000,Update,0.0,0.0,89.53214,0.0,0.5533,11169.1738,26533.53,26533.5,26533.43,26533.43,0.1,True
imagenet,1,SHNSW (ef_search: 200),300000,1000,Build,137.8873,0.0,295.06397,0.9406,0.9406,3389.0956,31111.07,26664.88,26533.43,26584.29,4577.64,True
imagenet,2,SHNSW (ef_search: 200),301000,1000,Update,0.0,0.0,299.60799,0.0,0.9389,3337.6947,26584.39,26584.38,26584.29,26584.29,0.1,True
imagenet,3,SHNSW (ef_search: 200),500000,1000,Update,0.0,0.0,307.85656,0.0,0.5656,3248.266,26584.39,26584.38,26584.29,26584.29,0.1,True
imagenet,1,SHNSW (ef_search: 500),300000,1000,Build,140.0597,0.0,620.72659,0.9456,0.9456,1611.0153,31161.93,28894.77,26584.29,26605.57,4577.64,True
imagenet,2,SHNSW (ef_search: 500),301000,1000,Update,0.0,0.0001,633.90017,0.0,0.9441,1577.5355,26605.67,26605.67,26605.57,26605.57,0.1,True
imagenet,3,SHNSW (ef_search: 500),500000,1000,Update,0.0,0.0,633.67963,0.0,0.5668,1578.0845,26605.67,26605.67,26605.57,26605.57,0.1,True
imagenet,1,SHNSW (ef_search: 1000),300000,1000,Build,140.9566,0.0,1060.23192,0.9551,0.9551,943.1899,33472.03,31109.65,26605.57,28911.5,6866.46,True
imagenet,2,SHNSW (ef_search: 1000),301000,1000,Update,0.0,0.0,1058.30693,0.0,0.9534,944.9055,28911.6,28911.59,28911.5,28911.5,0.1,True
imagenet,3,SHNSW (ef_search: 1000),500000,1000,Update,0.0,0.0,1065.0239,0.0,0.5739,938.9461,28911.6,28911.59,28911.5,28911.5,0.1,True
imagenet,1,Faiss HNSW (efSearch: 64),300000,1000,Build,30.0993,0.0,63.81083,0.9142,0.9142,15671.3221,28912.47,28912.4,28911.5,28912.47,0.98,True
imagenet,2,Faiss HNSW (efSearch: 64),301000,1000,Update,0.0,0.682,41.65673,0.0,0.9143,24005.7234,30060.7,29542.19,28912.47,30060.7,1148.23,True
imagenet,3,Faiss HNSW (efSearch: 64),500000,1000,Update,0.0,24.2317,62.47234,0.0,0.9091,16007.0832,30819.82,30810.6,30060.7,30819.82,759.12,True
imagenet,1,Faiss HNSW (efSearch: 128),300000,1000,Build,30.2272,0.0,75.73605,0.9192,0.9192,13203.7524,30819.82,30819.82,30819.82,30819.82,0.0,True
imagenet,2,Faiss HNSW (efSearch: 128),301000,1000,Update,0.0,0.6802,76.31803,0.0,0.9193,13103.0643,30060.76,29562.55,28912.54,30060.76,1148.23,True
imagenet,3,Faiss HNSW (efSearch: 128),500000,1000,Update,0.0,24.3332,68.20107,0.0,0.9134,14662.5276,30819.89,30810.69,30060.76,30819.89,759.12,True
imagenet,1,Faiss HNSW (efSearch: 256),300000,1000,Build,30.2202,0.0,144.07086,0.9255,0.9255,6941.0287,30819.89,30819.89,30819.89,30819.89,0.0,True
imagenet,2,Faiss HNSW (efSearch: 256),301000,1000,Update,0.0,0.6805,142.51208,0.0,0.9256,7016.9489,30060.76,29604.39,28912.54,30060.76,1148.23,True
imagenet,3,Faiss HNSW (efSearch: 256),500000,1000,Update,0.0,24.3304,131.72221,0.0,0.9224,7591.734,30819.89,30810.74,30060.76,30819.89,759.12,True
imagenet,1,Faiss GT,300000,1000,Build,0.2305,0.0,5934.34215,0.9785,0.9785,168.5107,30821.8,30821.72,30819.89,30821.8,1.92,True
imagenet,2,Faiss GT,301000,1000,Update,0.0,0.654,5818.82215,0.0,0.9785,171.8561,30062.68,30001.81,28914.45,30062.68,1148.23,True
imagenet,3,Faiss GT,500000,1000,Update,0.0,0.5265,9753.41272,0.0,0.9702,102.5282,30821.8,30799.48,30062.68,30821.8,759.12,True
imagenet,1,Scann,300000,1000,Build,18.5709,0.0,815.35101,0.855,0.855,1226.4656,30895.03,30847.36,30821.8,30895.02,73.22,True
imagenet,2,Scann,301000,1000,Update,0.0,0.0,806.28061,0.0,0.8533,1240.263,28987.67,28987.67,28987.67,28987.67,0.0,True
