Dataset,Phase,Algo,Points,Queries,Action,BuildTime,UpdateTime,SearchTime,Recall,Precision,QPS,max memory used,Threading
mirflickr,2,Cufe (budget: 1),301000,1000,Update,0.0,1.6755,1401.25823,0.3384,0.3384,713.6443,92.9709,True
mirflickr,2,Cufe (budget: 4),301000,1000,Update,0.0,1.6324,1450.77896,0.5441,0.5441,689.2849,92.9712,True
mirflickr,2,Cufe (budget: 6),301000,1000,Update,0.0,1.6485,1433.29191,0.5809,0.5809,697.6946,92.9713,True
mirflickr,2,Cufe (budget: 10),301000,1000,Update,0.0,1.7184,1444.9017,0.6366,0.6366,692.0886,92.9712,True
mirflickr,2,Cufe (base),301000,1000,Update,0.0,1.6345,31244.65227,0.9504,0.9504,32.0055,92.9713,True
mirflickr,2,SHNSW (ef_search: 40),301000,1000,Update,0.0,0.0,492.05709,0.9338,0.9338,2032.2845,30.5214,True
mirflickr,2,SHNSW (ef_search: 200),301000,1000,Update,0.0,0.0,314.91661,0.964,0.964,3175.4438,30.5214,True
mirflickr,2,SHNSW (ef_search: 500),301000,1000,Update,0.0,0.0,625.24152,0.9705,0.9705,1599.382,30.5214,True
mirflickr,2,SHNSW (ef_search: 1000),301000,1000,Update,0.0,0.0,1113.76834,0.985,0.985,897.8528,30.5214,True
mirflickr,2,Faiss HNSW (efSearch: 64),301000,1000,Update,0.0,0.5248,80.63626,0.9388,0.9388,12401.3684,4.3296,True
mirflickr,2,Faiss HNSW (efSearch: 128),301000,1000,Update,0.0,0.6754,209.97596,0.9473,0.9473,4762.45,4.3295,True
mirflickr,2,Faiss HNSW (efSearch: 256),301000,1000,Update,0.0,0.5666,216.1448,0.9634,0.9634,4626.5281,4.3296,True
mirflickr,2,Faiss GT,301000,1000,Update,0.0,1.4916,11401.72696,0.9951,0.9951,87.706,4.3293,True
mirflickr,2,Scann,301000,1000,Update,0.0,0.0,1540.2751,0.8107,0.8107,649.2347,4.291,True
mirflickr,2,Falconn (num_tables: 50),301000,1000,Update,0.0,0.0,1948.12965,0.9544,0.9544,513.3129,4.2201,True
mirflickr,2,Falconn (num_tables: 100),301000,1000,Update,0.0,0.0,4027.50564,0.9793,0.9793,248.2926,4.2201,True
mirflickr,3,KNNS Binary (Threaded),500000,1000,Update,0.0,22.628,9812.92772,1.0,1.0,101.9064,0.4047,True
mirflickr,3,KNNS Binary (Serial),500000,1000,Update,0.0,15.7577,25340.40952,1.0,1.0,39.4627,0.4005,False
mirflickr,3,KNNS Double (Threaded),500000,1000,Update,0.0,3.467,6752.00319,1.0,1.0,148.1042,0.4005,True
mirflickr,3,KNNS Double (Serial),500000,1000,Update,0.0,47.79,42147.48788,1.0,1.0,23.7262,0.4005,False
mirflickr,3,Linscan (budget: 1),500000,1000,Update,0.0,397.7844,1689.24427,0.252,0.252,591.9807,6073.0023,True
mirflickr,3,Linscan (budget: 4),500000,1000,Update,0.0,377.2561,1128.99065,0.1957,0.1957,885.7469,6073.0019,True
mirflickr,3,Linscan (budget: 6),500000,1000,Update,0.0,323.7326,1204.66995,0.401,0.401,830.1029,6073.0019,True
mirflickr,3,Linscan (budget: 10),500000,1000,Update,0.0,289.9276,1154.96421,0.4234,0.4234,865.8277,6073.0019,True
mirflickr,3,Linscan (base),500000,1000,Update,0.0,303.8359,127979.46358,0.9968,0.9968,7.8138,6073.0019,True
mirflickr,3,Cufe (budget: 1),500000,1000,Update,0.0,261.9141,1195.70827,0.2685,0.2685,836.3244,6073.0019,True
mirflickr,3,Cufe (budget: 4),500000,1000,Update,0.0,271.7592,3957.49807,0.2686,0.2686,252.6849,6073.0019,True
mirflickr,3,Cufe (budget: 6),500000,1000,Update,0.0,229.7287,1951.478,0.4291,0.4291,512.4321,6073.0019,True
mirflickr,3,Cufe (budget: 10),500000,1000,Update,0.0,228.8395,1937.46376,0.618,0.618,516.1387,6073.0019,True
mirflickr,3,Cufe (base),500000,1000,Update,0.0,289.9795,55079.602,0.9498,0.9498,18.1555,6073.0019,True
mirflickr,3,SHNSW (ef_search: 40),500000,1000,Update,0.0,0.0,799.39651,0.5749,0.5749,1250.9437,30.5214,True
mirflickr,3,SHNSW (ef_search: 200),500000,1000,Update,0.0,0.0,4790.17854,0.5831,0.5831,208.7605,30.5214,True
mirflickr,3,SHNSW (ef_search: 500),500000,1000,Update,0.0,0.0,2796.34309,0.5896,0.5896,357.6099,30.5214,True
mirflickr,3,SHNSW (ef_search: 1000),500000,1000,Update,0.0,0.0,1982.11861,0.5933,0.5933,504.5107,30.5214,True
mirflickr,3,Faiss HNSW (efSearch: 64),500000,1000,Update,0.0,18.3409,80.89948,0.944,0.944,12361.0193,759.1253,True
mirflickr,3,Faiss HNSW (efSearch: 128),500000,1000,Update,0.0,17.6256,134.96351,0.9575,0.9575,7409.41,759.1253,True
mirflickr,3,Faiss HNSW (efSearch: 256),500000,1000,Update,0.0,23.1233,223.94609,0.9697,0.9697,4465.3603,759.1253,True
mirflickr,3,Faiss GT,500000,1000,Update,0.0,9.0936,18144.79423,0.9968,0.9968,55.1122,759.1251,True
mirflickr,3,Scann,500000,1000,Update,0.0,0.0,6078.38607,0.5,0.5,164.5174,4.2909,True
mirflickr,3,Falconn (num_tables: 50),500000,1000,Update,0.0,0.0,10761.63697,0.5777,0.5777,92.9227,4.2202,True
mirflickr,3,Falconn (num_tables: 100),500000,1000,Update,0.0,0.0,2853.81579,0.592,0.592,350.408,4.2202,True
