Mean search time: 804.584 ms
Net number of dot products: 208849090
Query 0: naive time: 514.137 ms, recall: 1
Query 1: naive time: 462.552 ms, recall: 1
Query 2: naive time: 613.34 ms, recall: 1
Query 3: naive time: 596.043 ms, recall: 1
Query 4: naive time: 696.961 ms, recall: 1
Query 5: naive time: 574.421 ms, recall: 1
Query 6: naive time: 532.644 ms, recall: 1
Query 7: naive time: 575.936 ms, recall: 1
Query 8: naive time: 610.212 ms, recall: 1
Query 9: naive time: 567.93 ms, recall: 1
Query 10: naive time: 652.59 ms, recall: 1
Query 11: naive time: 586.986 ms, recall: 1
Query 12: naive time: 568.813 ms, recall: 1
Query 13: naive time: 650.681 ms, recall: 1
Query 14: naive time: 559.523 ms, recall: 1
Query 15: naive time: 604.252 ms, recall: 1
Query 16: naive time: 700.254 ms, recall: 1
Query 17: naive time: 633.138 ms, recall: 1
Query 18: naive time: 602.18 ms, recall: 1
Query 19: naive time: 684.649 ms, recall: 1
Query 20: naive time: 616.722 ms, recall: 1
Query 21: naive time: 531.879 ms, recall: 1
Query 22: naive time: 616.413 ms, recall: 1
Query 23: naive time: 736.849 ms, recall: 1
Query 24: naive time: 541.839 ms, recall: 1
Query 25: naive time: 591.354 ms, recall: 1
Query 26: naive time: 508.97 ms, recall: 1
Query 27: naive time: 561.73 ms, recall: 1
Query 28: naive time: 703.785 ms, recall: 1
Query 29: naive time: 474.661 ms, recall: 1
Query 30: naive time: 785.866 ms, recall: 1
Query 31: naive time: 666.75 ms, recall: 1
Query 32: naive time: 659.905 ms, recall: 1
Query 33: naive time: 597.19 ms, recall: 1
Query 34: naive time: 669.618 ms, recall: 1
Query 35: naive time: 623.039 ms, recall: 1
Query 36: naive time: 726.196 ms, recall: 1
Query 37: naive time: 580.409 ms, recall: 1
Query 38: naive time: 548.163 ms, recall: 1
Query 39: naive time: 454.403 ms, recall: 1
Query 40: naive time: 584.517 ms, recall: 1
Query 41: naive time: 680.953 ms, recall: 1
Query 42: naive time: 692.528 ms, recall: 1
Query 43: naive time: 543.838 ms, recall: 1
Query 44: naive time: 682.963 ms, recall: 1
Query 45: naive time: 605.438 ms, recall: 1
Query 46: naive time: 519.647 ms, recall: 1
Query 47: naive time: 623.131 ms, recall: 1
Query 48: naive time: 610.276 ms, recall: 1
Query 49: naive time: 534.468 ms, recall: 1
Query 50: naive time: 612.021 ms, recall: 1
Query 51: naive time: 839.505 ms, recall: 1
Query 52: naive time: 689.648 ms, recall: 1
Query 53: naive time: 561.037 ms, recall: 1
Query 54: naive time: 613.806 ms, recall: 1
Query 55: naive time: 627.201 ms, recall: 1
Query 56: naive time: 665.684 ms, recall: 1
Query 57: naive time: 580.413 ms, recall: 1
Query 58: naive time: 605.332 ms, recall: 1
Query 59: naive time: 895.236 ms, recall: 1
Query 60: naive time: 630.748 ms, recall: 1
Query 61: naive time: 577.777 ms, recall: 1
Query 62: naive time: 521.311 ms, recall: 1
Query 63: naive time: 545.127 ms, recall: 1
Query 64: naive time: 644.583 ms, recall: 1
Query 65: naive time: 492.76 ms, recall: 1
Query 66: naive time: 558.085 ms, recall: 1
Query 67: naive time: 559.692 ms, recall: 1
Query 68: naive time: 657.566 ms, recall: 1
Query 69: naive time: 589.352 ms, recall: 1
