Mean search time: 483.018 ms
Net number of dot products: 189460179
Query 0: naive time: 313.344 ms, recall: 1
Query 1: naive time: 334.306 ms, recall: 1
Query 2: naive time: 384.98 ms, recall: 1
Query 3: naive time: 319.213 ms, recall: 1
Query 4: naive time: 311.561 ms, recall: 1
Query 5: naive time: 296.745 ms, recall: 1
Query 6: naive time: 291.895 ms, recall: 1
Query 7: naive time: 437.779 ms, recall: 1
Query 8: naive time: 316.469 ms, recall: 1
Query 9: naive time: 359.088 ms, recall: 1
Query 10: naive time: 388.261 ms, recall: 1
Query 11: naive time: 415.546 ms, recall: 1
Query 12: naive time: 359.707 ms, recall: 1
Query 13: naive time: 334.704 ms, recall: 1
Query 14: naive time: 257.263 ms, recall: 1
Query 15: naive time: 371.467 ms, recall: 1
Query 16: naive time: 367.044 ms, recall: 1
Query 17: naive time: 345.046 ms, recall: 1
Query 18: naive time: 367.227 ms, recall: 1
Query 19: naive time: 376.339 ms, recall: 1
Query 20: naive time: 374.153 ms, recall: 1
Query 21: naive time: 365.504 ms, recall: 1
Query 22: naive time: 260.18 ms, recall: 1
Query 23: naive time: 315.923 ms, recall: 1
Query 24: naive time: 354.725 ms, recall: 1
Query 25: naive time: 343.582 ms, recall: 1
Query 26: naive time: 298.802 ms, recall: 1
Query 27: naive time: 287.513 ms, recall: 1
Query 28: naive time: 375.344 ms, recall: 1
Query 29: naive time: 415.053 ms, recall: 1
Query 30: naive time: 304.229 ms, recall: 1
Query 31: naive time: 283.787 ms, recall: 1
Query 32: naive time: 359.022 ms, recall: 1
Query 33: naive time: 351.405 ms, recall: 1
Query 34: naive time: 412.257 ms, recall: 1
Query 35: naive time: 344.341 ms, recall: 1
Query 36: naive time: 456.917 ms, recall: 1
Query 37: naive time: 370.007 ms, recall: 1
Query 38: naive time: 343.377 ms, recall: 1
Query 39: naive time: 417.595 ms, recall: 1
Query 40: naive time: 366.739 ms, recall: 1
Query 41: naive time: 430.452 ms, recall: 1
Query 42: naive time: 376.303 ms, recall: 1
Query 43: naive time: 444.22 ms, recall: 1
Query 44: naive time: 417.575 ms, recall: 1
Query 45: naive time: 322.509 ms, recall: 1
Query 46: naive time: 313.046 ms, recall: 1
Query 47: naive time: 365.256 ms, recall: 1
Query 48: naive time: 455.957 ms, recall: 1
Query 49: naive time: 371.236 ms, recall: 1
Query 50: naive time: 439.429 ms, recall: 1
Query 51: naive time: 350.925 ms, recall: 1
Query 52: naive time: 341.09 ms, recall: 1
Query 53: naive time: 495.764 ms, recall: 1
Query 54: naive time: 302.97 ms, recall: 1
Query 55: naive time: 386.84 ms, recall: 1
Query 56: naive time: 369.919 ms, recall: 1
Query 57: naive time: 359.38 ms, recall: 1
Query 58: naive time: 372.831 ms, recall: 1
Query 59: naive time: 325.911 ms, recall: 1
Query 60: naive time: 298.781 ms, recall: 1
Query 61: naive time: 326.018 ms, recall: 1
Query 62: naive time: 330.496 ms, recall: 1
Query 63: naive time: 357.92 ms, recall: 1
Query 64: naive time: 341.62 ms, recall: 1
Query 65: naive time: 284.115 ms, recall: 1
Query 66: naive time: 331.889 ms, recall: 1
Query 67: naive time: 383.343 ms, recall: 1
Query 68: naive time: 451.261 ms, recall: 1
Query 69: naive time: 336.092 ms, recall: 1
Query 70: naive time: 451.382 ms, recall: 1
