Mean search time: 771.587 ms
Net number of dot products: 225220710
Query 0: naive time: 707.481 ms, recall: 1
Query 1: naive time: 562.705 ms, recall: 1
Query 2: naive time: 631.244 ms, recall: 1
Query 3: naive time: 482.562 ms, recall: 1
Query 4: naive time: 614.149 ms, recall: 1
Query 5: naive time: 721.63 ms, recall: 1
Query 6: naive time: 627.748 ms, recall: 1
Query 7: naive time: 575.661 ms, recall: 1
Query 8: naive time: 592.184 ms, recall: 1
Query 9: naive time: 564.72 ms, recall: 1
Query 10: naive time: 589.247 ms, recall: 1
Query 11: naive time: 462.168 ms, recall: 1
Query 12: naive time: 712.761 ms, recall: 1
Query 13: naive time: 637.672 ms, recall: 1
Query 14: naive time: 625.458 ms, recall: 1
Query 15: naive time: 635.776 ms, recall: 1
Query 16: naive time: 622.089 ms, recall: 1
Query 17: naive time: 407.495 ms, recall: 1
Query 18: naive time: 696.395 ms, recall: 1
Query 19: naive time: 725.394 ms, recall: 1
Query 20: naive time: 604.086 ms, recall: 1
Query 21: naive time: 521.452 ms, recall: 1
Query 22: naive time: 550.953 ms, recall: 1
Query 23: naive time: 521.139 ms, recall: 1
Query 24: naive time: 537.543 ms, recall: 1
Query 25: naive time: 763.932 ms, recall: 1
Query 26: naive time: 646.719 ms, recall: 1
Query 27: naive time: 667.78 ms, recall: 1
Query 28: naive time: 544.371 ms, recall: 1
Query 29: naive time: 581.568 ms, recall: 1
Query 30: naive time: 731.383 ms, recall: 1
Query 31: naive time: 738.738 ms, recall: 1
Query 32: naive time: 748.971 ms, recall: 1
Query 33: naive time: 564.844 ms, recall: 1
Query 34: naive time: 706.781 ms, recall: 1
Query 35: naive time: 575.155 ms, recall: 1
Query 36: naive time: 669.697 ms, recall: 1
Query 37: naive time: 640.301 ms, recall: 1
Query 38: naive time: 616.885 ms, recall: 1
Query 39: naive time: 728.752 ms, recall: 1
Query 40: naive time: 469.778 ms, recall: 1
Query 41: naive time: 776.754 ms, recall: 1
