Mean search time: 444.332 ms
Net number of dot products: 199018098
Query 0: naive time: 371.312 ms, recall: 1
Query 1: naive time: 427.212 ms, recall: 1
Query 2: naive time: 443.848 ms, recall: 1
Query 3: naive time: 377.556 ms, recall: 1
Query 4: naive time: 415.782 ms, recall: 1
Query 5: naive time: 412.702 ms, recall: 1
Query 6: naive time: 382.067 ms, recall: 1
Query 7: naive time: 360.894 ms, recall: 1
Query 8: naive time: 371.257 ms, recall: 1
Query 9: naive time: 341.878 ms, recall: 1
Query 10: naive time: 370.482 ms, recall: 1
Query 11: naive time: 343.433 ms, recall: 1
Query 12: naive time: 404.582 ms, recall: 1
Query 13: naive time: 525.846 ms, recall: 1
Query 14: naive time: 333.068 ms, recall: 1
Query 15: naive time: 324.14 ms, recall: 1
Query 16: naive time: 403.656 ms, recall: 1
Query 17: naive time: 357.204 ms, recall: 1
Query 18: naive time: 251.218 ms, recall: 1
Query 19: naive time: 405.653 ms, recall: 1
Query 20: naive time: 337.971 ms, recall: 1
Query 21: naive time: 359.7 ms, recall: 1
Query 22: naive time: 431.529 ms, recall: 1
Query 23: naive time: 287.743 ms, recall: 1
Query 24: naive time: 392.749 ms, recall: 1
Query 25: naive time: 349.619 ms, recall: 1
Query 26: naive time: 388.09 ms, recall: 1
Query 27: naive time: 386.287 ms, recall: 1
Query 28: naive time: 408.412 ms, recall: 1
Query 29: naive time: 269.637 ms, recall: 1
Query 30: naive time: 413.537 ms, recall: 1
Query 31: naive time: 333.386 ms, recall: 1
Query 32: naive time: 387.012 ms, recall: 1
Query 33: naive time: 569.189 ms, recall: 1
Query 34: naive time: 407.384 ms, recall: 1
Query 35: naive time: 303.699 ms, recall: 1
Query 36: naive time: 381.38 ms, recall: 1
Query 37: naive time: 395.924 ms, recall: 1
Query 38: naive time: 360.762 ms, recall: 1
Query 39: naive time: 371.571 ms, recall: 1
Query 40: naive time: 501.19 ms, recall: 1
Query 41: naive time: 395.615 ms, recall: 1
Query 42: naive time: 390.733 ms, recall: 1
Query 43: naive time: 364.105 ms, recall: 1
Query 44: naive time: 521.77 ms, recall: 1
Query 45: naive time: 312.24 ms, recall: 1
Query 46: naive time: 448.126 ms, recall: 1
Query 47: naive time: 465.87 ms, recall: 1
Query 48: naive time: 441.408 ms, recall: 1
Query 49: naive time: 353.641 ms, recall: 1
Query 50: naive time: 383.28 ms, recall: 1
Query 51: naive time: 323.237 ms, recall: 1
Query 52: naive time: 260.008 ms, recall: 1
Query 53: naive time: 404.789 ms, recall: 1
Query 54: naive time: 410.099 ms, recall: 1
Query 55: naive time: 397.826 ms, recall: 1
Query 56: naive time: 438.12 ms, recall: 1
Query 57: naive time: 381.663 ms, recall: 1
Query 58: naive time: 545.861 ms, recall: 1
Query 59: naive time: 409.685 ms, recall: 1
Query 60: naive time: 374.213 ms, recall: 1
Query 61: naive time: 404.885 ms, recall: 1
Query 62: naive time: 291.413 ms, recall: 1
Query 63: naive time: 409.232 ms, recall: 1
Query 64: naive time: 327.974 ms, recall: 1
Query 65: naive time: 328.443 ms, recall: 1
Query 66: naive time: 307.753 ms, recall: 1
Query 67: naive time: 249.751 ms, recall: 1
Query 68: naive time: 350.734 ms, recall: 1
Query 69: naive time: 329.519 ms, recall: 1
Query 70: naive time: 432.838 ms, recall: 1
Query 71: naive time: 355.008 ms, recall: 1
Query 72: naive time: 366.141 ms, recall: 1
Query 73: naive time: 451.395 ms, recall: 1
Query 74: naive time: 313.233 ms, recall: 1
Query 75: naive time: 478.967 ms, recall: 1
Query 76: naive time: 382.915 ms, recall: 1
Query 77: naive time: 315.814 ms, recall: 1
Query 78: naive time: 320.315 ms, recall: 1
Query 79: naive time: 321.226 ms, recall: 1
Query 80: naive time: 373.644 ms, recall: 1
Query 81: naive time: 427.852 ms, recall: 1
Query 82: naive time: 296.808 ms, recall: 1
Query 83: naive time: 492.814 ms, recall: 1
Query 84: naive time: 365.086 ms, recall: 1
Query 85: naive time: 383.217 ms, recall: 1
Query 86: naive time: 411.059 ms, recall: 1
Query 87: naive time: 324.885 ms, recall: 1
Query 88: naive time: 361.57 ms, recall: 1
Query 89: naive time: 415.306 ms, recall: 1
Query 90: naive time: 334.143 ms, recall: 1
Query 91: naive time: 341.423 ms, recall: 1
Query 92: naive time: 382.301 ms, recall: 1
Query 93: naive time: 298.378 ms, recall: 1
Query 94: naive time: 280.433 ms, recall: 1
Query 95: naive time: 367.909 ms, recall: 1
Query 96: naive time: 387.157 ms, recall: 1
Query 97: naive time: 416.495 ms, recall: 1
Query 98: naive time: 377.086 ms, recall: 1
Query 99: naive time: 342.497 ms, recall: 1
Query 100: naive time: 547.075 ms, recall: 1
Query 101: naive time: 385.196 ms, recall: 1
Query 102: naive time: 375.264 ms, recall: 1
Query 103: naive time: 354.529 ms, recall: 1
Query 104: naive time: 332.991 ms, recall: 1
Query 105: naive time: 314.552 ms, recall: 1
Query 106: naive time: 295.616 ms, recall: 1
Query 107: naive time: 403.565 ms, recall: 1
Query 108: naive time: 369.389 ms, recall: 1
Query 109: naive time: 371.581 ms, recall: 1
Query 110: naive time: 344.881 ms, recall: 1
Query 111: naive time: 325.104 ms, recall: 1
Query 112: naive time: 383.541 ms, recall: 1
Query 113: naive time: 414.732 ms, recall: 1
Query 114: naive time: 334.292 ms, recall: 1
Query 115: naive time: 334.449 ms, recall: 1
Query 116: naive time: 334.841 ms, recall: 1
Query 117: naive time: 361.425 ms, recall: 1
Query 118: naive time: 392.61 ms, recall: 1
Query 119: naive time: 417.389 ms, recall: 1
Query 120: naive time: 477.326 ms, recall: 1
Query 121: naive time: 347.142 ms, recall: 1
Query 122: naive time: 375.473 ms, recall: 1
Query 123: naive time: 304.2 ms, recall: 1
Query 124: naive time: 570.958 ms, recall: 1
Query 125: naive time: 500.682 ms, recall: 1
Query 126: naive time: 399.056 ms, recall: 1
Query 127: naive time: 357.678 ms, recall: 1
Query 128: naive time: 458.039 ms, recall: 1
Query 129: naive time: 328.637 ms, recall: 1
Query 130: naive time: 403.681 ms, recall: 1
Query 131: naive time: 381.978 ms, recall: 1
Query 132: naive time: 395.983 ms, recall: 1
Query 133: naive time: 283.188 ms, recall: 1
Query 134: naive time: 319.632 ms, recall: 1
Query 135: naive time: 322.79 ms, recall: 1
Query 136: naive time: 416.096 ms, recall: 1
