Mean search time: 950.082 ms
Net number of dot products: 229536436
Query 0: naive time: 1063.66 ms, recall: 1
Query 1: naive time: 756.914 ms, recall: 1
Query 2: naive time: 762.434 ms, recall: 1
Query 3: naive time: 732.692 ms, recall: 1
Query 4: naive time: 548.123 ms, recall: 1
Query 5: naive time: 1001.67 ms, recall: 1
Query 6: naive time: 709.168 ms, recall: 1
Query 7: naive time: 771.171 ms, recall: 1
Query 8: naive time: 689.634 ms, recall: 1
Query 9: naive time: 784.205 ms, recall: 1
Query 10: naive time: 687.322 ms, recall: 1
Query 11: naive time: 773.422 ms, recall: 1
Query 12: naive time: 842.433 ms, recall: 1
Query 13: naive time: 708.724 ms, recall: 1
Query 14: naive time: 747.191 ms, recall: 1
Query 15: naive time: 977.575 ms, recall: 1
Query 16: naive time: 713.619 ms, recall: 1
Query 17: naive time: 688.384 ms, recall: 1
Query 18: naive time: 710.499 ms, recall: 1
Query 19: naive time: 694.208 ms, recall: 1
Query 20: naive time: 808.195 ms, recall: 1
Query 21: naive time: 685.879 ms, recall: 1
Query 22: naive time: 555.049 ms, recall: 1
Query 23: naive time: 813.413 ms, recall: 1
Query 24: naive time: 728.905 ms, recall: 1
Query 25: naive time: 861.292 ms, recall: 1
Query 26: naive time: 667.396 ms, recall: 1
Query 27: naive time: 834.7 ms, recall: 1
Query 28: naive time: 825.013 ms, recall: 1
Query 29: naive time: 587.807 ms, recall: 1
Query 30: naive time: 738.084 ms, recall: 1
Query 31: naive time: 795.885 ms, recall: 1
Query 32: naive time: 1050.71 ms, recall: 1
Query 33: naive time: 919.736 ms, recall: 1
Query 34: naive time: 725.888 ms, recall: 1
Query 35: naive time: 710.478 ms, recall: 1
Query 36: naive time: 600.773 ms, recall: 1
Query 37: naive time: 720.073 ms, recall: 1
Query 38: naive time: 738.366 ms, recall: 1
Query 39: naive time: 646.659 ms, recall: 1
Query 40: naive time: 869.119 ms, recall: 1
Query 41: naive time: 594.422 ms, recall: 1
Query 42: naive time: 629.838 ms, recall: 1
Query 43: naive time: 599.303 ms, recall: 1
Query 44: naive time: 711.832 ms, recall: 1
Query 45: naive time: 737.54 ms, recall: 1
Query 46: naive time: 705.441 ms, recall: 1
Query 47: naive time: 894.853 ms, recall: 1
Query 48: naive time: 789.87 ms, recall: 1
Query 49: naive time: 774.652 ms, recall: 1
Query 50: naive time: 637.142 ms, recall: 1
Query 51: naive time: 627.674 ms, recall: 1
Query 52: naive time: 852.713 ms, recall: 1
Query 53: naive time: 905.823 ms, recall: 1
Query 54: naive time: 726.095 ms, recall: 1
Query 55: naive time: 611.832 ms, recall: 1
Query 56: naive time: 664.588 ms, recall: 1
Query 57: naive time: 888.943 ms, recall: 1
Query 58: naive time: 707.569 ms, recall: 1
Query 59: naive time: 859.118 ms, recall: 1
Query 60: naive time: 624.305 ms, recall: 1
Query 61: naive time: 709.186 ms, recall: 1
Query 62: naive time: 812.345 ms, recall: 1
Query 63: naive time: 521.513 ms, recall: 1
Query 64: naive time: 703.678 ms, recall: 1
Query 65: naive time: 1024.22 ms, recall: 1
Query 66: naive time: 696.805 ms, recall: 1
Query 67: naive time: 781.385 ms, recall: 1
Query 68: naive time: 680.664 ms, recall: 1
Query 69: naive time: 871.142 ms, recall: 1
Query 70: naive time: 754.515 ms, recall: 1
Query 71: naive time: 612.406 ms, recall: 1
Query 72: naive time: 692.195 ms, recall: 1
Query 73: naive time: 938.544 ms, recall: 1
Query 74: naive time: 740.882 ms, recall: 1
Query 75: naive time: 790.623 ms, recall: 1
Query 76: naive time: 1002.02 ms, recall: 1
Query 77: naive time: 750.296 ms, recall: 1
Query 78: naive time: 631.236 ms, recall: 1
Query 79: naive time: 590.725 ms, recall: 1
Query 80: naive time: 661.878 ms, recall: 1
Query 81: naive time: 595.279 ms, recall: 1
Query 82: naive time: 750.809 ms, recall: 1
Query 83: naive time: 734.096 ms, recall: 1
Query 84: naive time: 779.905 ms, recall: 1
Query 85: naive time: 781.717 ms, recall: 1
Query 86: naive time: 748.163 ms, recall: 1
Query 87: naive time: 634.545 ms, recall: 1
Query 88: naive time: 692.164 ms, recall: 1
Query 89: naive time: 750.993 ms, recall: 1
Query 90: naive time: 856.33 ms, recall: 1
Query 91: naive time: 892.959 ms, recall: 1
Query 92: naive time: 762.23 ms, recall: 1
Query 93: naive time: 758.889 ms, recall: 1
Query 94: naive time: 724.147 ms, recall: 1
Query 95: naive time: 699.514 ms, recall: 1
Query 96: naive time: 889.175 ms, recall: 1
Query 97: naive time: 746.325 ms, recall: 1
Query 98: naive time: 683.341 ms, recall: 1
Query 99: naive time: 976.172 ms, recall: 1
Query 100: naive time: 863.188 ms, recall: 1
Query 101: naive time: 739.354 ms, recall: 1
Query 102: naive time: 677.88 ms, recall: 1
Query 103: naive time: 700.057 ms, recall: 1
Query 104: naive time: 694.064 ms, recall: 1
Query 105: naive time: 704.448 ms, recall: 1
Query 106: naive time: 756.528 ms, recall: 1
Query 107: naive time: 696.149 ms, recall: 1
Query 108: naive time: 996.598 ms, recall: 1
Query 109: naive time: 738.282 ms, recall: 1
Query 110: naive time: 686.814 ms, recall: 1
Query 111: naive time: 745.953 ms, recall: 1
Query 112: naive time: 750.054 ms, recall: 1
Query 113: naive time: 916.619 ms, recall: 1
Query 114: naive time: 630.434 ms, recall: 1
Query 115: naive time: 695.619 ms, recall: 1
Query 116: naive time: 731.351 ms, recall: 1
Query 117: naive time: 663.543 ms, recall: 1
Query 118: naive time: 797.969 ms, recall: 1
Query 119: naive time: 732.821 ms, recall: 1
Query 120: naive time: 892.646 ms, recall: 1
Query 121: naive time: 727.294 ms, recall: 1
Query 122: naive time: 848.501 ms, recall: 1
Query 123: naive time: 666.597 ms, recall: 1
Query 124: naive time: 804.243 ms, recall: 1
Query 125: naive time: 917.637 ms, recall: 1
Query 126: naive time: 756.606 ms, recall: 1
Query 127: naive time: 808.336 ms, recall: 1
Query 128: naive time: 710.424 ms, recall: 1
Query 129: naive time: 703.031 ms, recall: 1
Query 130: naive time: 690.263 ms, recall: 1
Query 131: naive time: 768.378 ms, recall: 1
Query 132: naive time: 723.758 ms, recall: 1
Query 133: naive time: 652.601 ms, recall: 1
Query 134: naive time: 609.209 ms, recall: 1
Query 135: naive time: 669.718 ms, recall: 1
Query 136: naive time: 693.838 ms, recall: 1
Query 137: naive time: 734.065 ms, recall: 1
Query 138: naive time: 580.161 ms, recall: 1
Query 139: naive time: 656.977 ms, recall: 1
Query 140: naive time: 632.209 ms, recall: 1
Query 141: naive time: 809.014 ms, recall: 1
Query 142: naive time: 769.445 ms, recall: 1
Query 143: naive time: 709.031 ms, recall: 1
Query 144: naive time: 791.327 ms, recall: 1
Query 145: naive time: 777.896 ms, recall: 1
Query 146: naive time: 990.947 ms, recall: 1
Query 147: naive time: 1094.48 ms, recall: 1
Query 148: naive time: 1025.12 ms, recall: 1
Query 149: naive time: 707.586 ms, recall: 1
Query 150: naive time: 773.673 ms, recall: 1
Query 151: naive time: 974.831 ms, recall: 1
Query 152: naive time: 799.519 ms, recall: 1
Query 153: naive time: 596.898 ms, recall: 1
Query 154: naive time: 770.845 ms, recall: 1
Query 155: naive time: 836.402 ms, recall: 1
Query 156: naive time: 1024.04 ms, recall: 1
Query 157: naive time: 912.52 ms, recall: 1
Query 158: naive time: 804.248 ms, recall: 1
Query 159: naive time: 801.366 ms, recall: 1
Query 160: naive time: 620.02 ms, recall: 1
Query 161: naive time: 728.142 ms, recall: 1
Query 162: naive time: 648.744 ms, recall: 1
Query 163: naive time: 672.408 ms, recall: 1
Query 164: naive time: 885.411 ms, recall: 1
Query 165: naive time: 727.154 ms, recall: 1
Query 166: naive time: 1072.47 ms, recall: 1
Query 167: naive time: 666.818 ms, recall: 1
Query 168: naive time: 917.374 ms, recall: 1
Query 169: naive time: 739.247 ms, recall: 1
Query 170: naive time: 927.53 ms, recall: 1
Query 171: naive time: 780.819 ms, recall: 1
Query 172: naive time: 694.207 ms, recall: 1
Query 173: naive time: 901.791 ms, recall: 1
Query 174: naive time: 622.73 ms, recall: 1
Query 175: naive time: 698.845 ms, recall: 1
Query 176: naive time: 681.416 ms, recall: 1
Query 177: naive time: 583.612 ms, recall: 1
Query 178: naive time: 801.216 ms, recall: 1
Query 179: naive time: 954.368 ms, recall: 1
Query 180: naive time: 726.176 ms, recall: 1
Query 181: naive time: 719.49 ms, recall: 1
Query 182: naive time: 803.225 ms, recall: 1
Query 183: naive time: 1044 ms, recall: 1
Query 184: naive time: 764.31 ms, recall: 1
Query 185: naive time: 868.438 ms, recall: 1
Query 186: naive time: 736.596 ms, recall: 1
Query 187: naive time: 583.789 ms, recall: 1
Query 188: naive time: 753.694 ms, recall: 1
Query 189: naive time: 810.427 ms, recall: 1
Query 190: naive time: 695.096 ms, recall: 1
Query 191: naive time: 672.609 ms, recall: 1
Query 192: naive time: 704.189 ms, recall: 1
Query 193: naive time: 784.027 ms, recall: 1
Query 194: naive time: 742.642 ms, recall: 1
Query 195: naive time: 873.841 ms, recall: 1
Query 196: naive time: 806.661 ms, recall: 1
Query 197: naive time: 936.796 ms, recall: 1
Query 198: naive time: 764.689 ms, recall: 1
Query 199: naive time: 723.502 ms, recall: 1
Query 200: naive time: 816.801 ms, recall: 1
Query 201: naive time: 673.029 ms, recall: 1
Query 202: naive time: 744.163 ms, recall: 1
Query 203: naive time: 707.196 ms, recall: 1
Query 204: naive time: 830.706 ms, recall: 1
Query 205: naive time: 743.542 ms, recall: 1
Query 206: naive time: 611.294 ms, recall: 1
Query 207: naive time: 918.668 ms, recall: 1
Query 208: naive time: 858.022 ms, recall: 1
Query 209: naive time: 585.593 ms, recall: 1
Query 210: naive time: 746.907 ms, recall: 1
Query 211: naive time: 726.883 ms, recall: 1
Query 212: naive time: 1172.4 ms, recall: 1
Query 213: naive time: 830.83 ms, recall: 1
Query 214: naive time: 772.448 ms, recall: 1
Query 215: naive time: 858.154 ms, recall: 1
Query 216: naive time: 685.16 ms, recall: 1
Query 217: naive time: 755.066 ms, recall: 1
Query 218: naive time: 688.81 ms, recall: 1
Query 219: naive time: 773.519 ms, recall: 1
Query 220: naive time: 776.156 ms, recall: 1
Query 221: naive time: 767.138 ms, recall: 1
Query 222: naive time: 874.783 ms, recall: 1
Query 223: naive time: 721.615 ms, recall: 1
Query 224: naive time: 1251.05 ms, recall: 1
Query 225: naive time: 727.767 ms, recall: 1
Query 226: naive time: 912.289 ms, recall: 1
Query 227: naive time: 678.736 ms, recall: 1
Query 228: naive time: 920.873 ms, recall: 1
Query 229: naive time: 818.636 ms, recall: 1
Query 230: naive time: 628.156 ms, recall: 1
Query 231: naive time: 917.623 ms, recall: 1
Query 232: naive time: 664.229 ms, recall: 1
Query 233: naive time: 704.895 ms, recall: 1
Query 234: naive time: 792.162 ms, recall: 1
Query 235: naive time: 741.699 ms, recall: 1
Query 236: naive time: 582.926 ms, recall: 1
Query 237: naive time: 714.8 ms, recall: 1
Query 238: naive time: 1108.93 ms, recall: 1
