Mean search time: 986.869 ms
Net number of dot products: 229967634
Query 0: naive time: 780.93 ms, recall: 1
Query 1: naive time: 851.401 ms, recall: 1
Query 2: naive time: 865.436 ms, recall: 1
Query 3: naive time: 855.448 ms, recall: 1
Query 4: naive time: 977.52 ms, recall: 1
Query 5: naive time: 628.932 ms, recall: 1
Query 6: naive time: 931.759 ms, recall: 1
Query 7: naive time: 739.416 ms, recall: 1
Query 8: naive time: 738.029 ms, recall: 1
Query 9: naive time: 684.9 ms, recall: 1
Query 10: naive time: 790.158 ms, recall: 1
Query 11: naive time: 718.154 ms, recall: 1
Query 12: naive time: 775.612 ms, recall: 1
Query 13: naive time: 828.195 ms, recall: 1
Query 14: naive time: 1005.76 ms, recall: 1
Query 15: naive time: 1030.89 ms, recall: 1
Query 16: naive time: 866.63 ms, recall: 1
Query 17: naive time: 830.782 ms, recall: 1
Query 18: naive time: 890.068 ms, recall: 1
Query 19: naive time: 921.476 ms, recall: 1
Query 20: naive time: 684.844 ms, recall: 1
Query 21: naive time: 758.467 ms, recall: 1
Query 22: naive time: 573.606 ms, recall: 1
Query 23: naive time: 886.442 ms, recall: 1
Query 24: naive time: 776.603 ms, recall: 1
Query 25: naive time: 880.63 ms, recall: 1
Query 26: naive time: 723.448 ms, recall: 1
Query 27: naive time: 883.63 ms, recall: 1
Query 28: naive time: 862.749 ms, recall: 1
Query 29: naive time: 760.81 ms, recall: 1
Query 30: naive time: 1018.83 ms, recall: 1
Query 31: naive time: 704.756 ms, recall: 1
Query 32: naive time: 920.296 ms, recall: 1
Query 33: naive time: 797.111 ms, recall: 1
Query 34: naive time: 954.618 ms, recall: 1
Query 35: naive time: 700.917 ms, recall: 1
Query 36: naive time: 830.486 ms, recall: 1
Query 37: naive time: 746.743 ms, recall: 1
Query 38: naive time: 782.49 ms, recall: 1
Query 39: naive time: 820.193 ms, recall: 1
Query 40: naive time: 806.663 ms, recall: 1
Query 41: naive time: 776.289 ms, recall: 1
Query 42: naive time: 940.476 ms, recall: 1
Query 43: naive time: 774.204 ms, recall: 1
Query 44: naive time: 759.016 ms, recall: 1
Query 45: naive time: 895.547 ms, recall: 1
Query 46: naive time: 813.174 ms, recall: 1
Query 47: naive time: 746.191 ms, recall: 1
Query 48: naive time: 901.475 ms, recall: 1
Query 49: naive time: 693.586 ms, recall: 1
Query 50: naive time: 774.681 ms, recall: 1
Query 51: naive time: 886.171 ms, recall: 1
Query 52: naive time: 878.02 ms, recall: 1
Query 53: naive time: 848.765 ms, recall: 1
Query 54: naive time: 907.695 ms, recall: 1
Query 55: naive time: 679.896 ms, recall: 1
Query 56: naive time: 859.911 ms, recall: 1
Query 57: naive time: 834.578 ms, recall: 1
Query 58: naive time: 997.362 ms, recall: 1
Query 59: naive time: 785.553 ms, recall: 1
Query 60: naive time: 905.231 ms, recall: 1
Query 61: naive time: 651.057 ms, recall: 1
Query 62: naive time: 896.964 ms, recall: 1
Query 63: naive time: 962.422 ms, recall: 1
Query 64: naive time: 859.469 ms, recall: 1
Query 65: naive time: 840.97 ms, recall: 1
Query 66: naive time: 779.345 ms, recall: 1
Query 67: naive time: 800.644 ms, recall: 1
Query 68: naive time: 839.449 ms, recall: 1
Query 69: naive time: 779.42 ms, recall: 1
